kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Lahat,Sumatera Selatan,10.6,0.22,14.14,67.6,50.05,8.69,103.37893492918808,-3.828883921839676,0.1730099511605907,0.192218537510529,0.2237259127859338,0.1946003666824843,0.2164452318604618,Konsumsi Protein
Musi Rawas,Sumatera Selatan,15.3,0.24,13.44,67.6,48.29,7.57,103.13655955538792,-3.1654443276277697,0.1775995393350863,0.2034433851225734,0.1982740449497708,0.1947278203152444,0.2259552102773249,RLS
Ogan Komering Ulu Selatan,Sumatera Selatan,12.4,0.45,9.86,57.7,38.83,8.25,103.9101681896806,-4.5889970756139205,0.175926559999085,0.1804928957429902,0.2089617704921581,0.2026476397776846,0.2319711339880817,RLS
Ogan Ilir,Sumatera Selatan,20.7,0.19,12.3,64.8,53.93,8.09,104.60529941563996,-3.415351604471873,0.1813351978754598,0.176422488857721,0.2185848278904199,0.1738232987412718,0.2498341866351272,RLS
Empat Lawang,Sumatera Selatan,21.6,0.3,10.78,64.5,39.51,7.68,102.94799554834594,-3.751525101264096,0.1880695279154335,0.18876995668788,0.2070192325493159,0.1875832892587285,0.2285579935886418,RLS
Penukal Abab Lematang Ilir,Sumatera Selatan,17.4,0.44,9.82,60.8,45.55,7.27,103.99497128388084,-3.2009900075331927,0.1820642956059557,0.1858925131298872,0.2154999064778142,0.1836064691598612,0.2329368156264813,RLS
Kota Palembang,Sumatera Selatan,7.8,0.01,9.77,69.1,66.91,10.93,104.74131954001174,-2.9717221928879494,0.1747291693548376,0.1898776114990567,0.2171698492393054,0.1831979231578491,0.2350254467489508,RLS
Kota Prabumulih,Sumatera Selatan,9.3,0.0,10.13,58.0,55.7,10.36,104.2288760240016,-3.4479665768595744,0.1627183353434226,0.1886602213425878,0.2280282597901174,0.184931984288975,0.2356611992348968,RLS
Kota Lubuk Linggau,Sumatera Selatan,15.7,0.02,11.14,65.2,50.85,9.94,102.8751101548901,-3.2630065712596545,0.1790026013487387,0.199617139874548,0.1784436355274499,0.2200445669680041,0.2228920562812588,RLS
Rejang Lebong,Bengkulu,20.2,0.05,14.65,59.1,37.28,8.81,102.7020487229849,-3.4304620789274947,0.2018389204924776,0.2019877740301376,0.185423699853369,0.1909103412089872,0.2198392644150282,RLS
Bengkulu Utara,Bengkulu,16.8,0.04,10.96,60.7,41.45,8.32,102.00196073674655,-3.419615911114122,0.186311606378116,0.1916367888109652,0.1822655809354917,0.2000361229227053,0.2397499009527215,RLS
Kaur,Bengkulu,12.2,0.09,17.12,57.6,43.45,8.47,103.41234541714698,-4.611188533270435,0.1788488930425465,0.1924336926986629,0.2004299745592677,0.1879343905089294,0.2403530491905932,RLS
Seluma,Bengkulu,17.7,0.12,17.23,60.7,45.0,8.14,102.65952586985642,-4.052034282749637,0.1723529152047984,0.1844597720131201,0.2087361494899839,0.2011116965571595,0.2333394667349377,RLS
Muko Muko,Bengkulu,18.6,0.02,10.76,58.5,48.25,8.57,101.48191301901014,-2.690361180363659,0.1938312675036252,0.2063594148277985,0.1806806263215471,0.1971290017730335,0.2219996895739955,RLS
Lebong,Bengkulu,16.7,0.09,10.45,61.2,40.75,8.41,102.24783610146106,-3.0900439716175567,0.1961596430093687,0.2049927060493865,0.1837094015823567,0.1896927962598491,0.2254454530990386,RLS
Bengkulu Tengah,Bengkulu,18.7,0.11,10.14,64.7,49.38,7.71,102.40435981019417,-3.685234597048703,0.1892162482286211,0.1889472493108846,0.1859172025063279,0.1992847992149828,0.2366345007391831,RLS
Kota Bengkulu,Bengkulu,13.8,0.0,13.76,59.9,53.41,11.84,102.30815803599496,-3.841402551286509,0.1871683726539205,0.1952142084504495,0.1927259576117985,0.1911940481082942,0.233697413175537,RLS
Lampung Barat,Lampung,17.3,0.05,10.68,60.5,35.73,8.56,104.25298334672524,-5.050595844119396,0.1683408758515167,0.1747170055569872,0.2049790138515881,0.2048405150803389,0.2471225896595689,RLS
Tanggamus,Lampung,19.0,0.07,10.28,58.5,39.37,7.38,104.67408762554209,-5.4281713641835525,0.1539656436848852,0.1673098446017929,0.2056798823754962,0.2023340587420782,0.2707105705957471,RLS
Lampung Selatan,Lampung,8.8,0.05,12.57,57.3,43.83,7.78,105.50124229208596,-5.530026220943956,0.1655978275959213,0.1825099922677086,0.1966528889649232,0.2020269698445491,0.2532123213268976,RLS
Lampung Timur,Lampung,11.9,0.01,13.19,56.7,38.82,8.2,105.64898832381596,-5.131438109272374,0.1715715029779715,0.1730217279102085,0.1892603888776412,0.203792630922521,0.2623537493116574,RLS
Lampung Tengah,Lampung,12.4,0.03,10.37,60.4,43.3,7.97,105.27201334072532,-4.8563893197053565,0.1670249354148541,0.1758634407014351,0.1971668193707096,0.2115225816885489,0.248422222824452,RLS
Lampung Utara,Lampung,15.2,0.09,16.92,53.9,37.16,8.38,104.8073640076546,-4.796821442620237,0.1640517625629948,0.1842209963947703,0.2029991484600237,0.2042374048873309,0.24449068769488,RLS
Way Kanan,Lampung,11.6,0.19,10.43,58.8,41.82,7.75,104.60613748828004,-4.51434792904712,0.1670138881530795,0.1917978932801939,0.2020443610865619,0.200385462636191,0.2387583948439733,RLS
Tulang Bawang,Lampung,16.4,0.07,7.88,57.3,44.74,7.65,105.52759448738615,-4.373196403793055,0.1775883092159459,0.1830333789920982,0.1972637571498999,0.1938687526599775,0.2482458019820782,RLS
Pesawaran,Lampung,14.0,0.16,11.86,62.0,41.7,8.0,105.11519506395965,-5.473553160055203,0.172814848544801,0.1770406560744014,0.1886713645032031,0.2112635105854577,0.2502096202921365,RLS
Pringsewu,Lampung,16.5,0.0,8.32,57.1,36.28,8.53,104.93340741523288,-5.33638123798422,0.1820220291417241,0.1621411669742732,0.201164011740647,0.1990442807650855,0.2556285113782699,RLS
Mesuji,Lampung,8.9,0.04,6.31,58.5,40.54,7.21,105.37837502826848,-4.024863449758931,0.1695936843847867,0.1780834446636968,0.2040347577450981,0.1932706073417339,0.2550175058646842,RLS
Tulang Bawang Barat,Lampung,11.7,0.07,7.22,54.1,35.39,7.8,105.08744018531031,-4.425748330961722,0.1734090120365746,0.1789267299419795,0.2085089507358195,0.1969433163252005,0.2422119909604255,RLS
Pesisir Barat,Lampung,16.2,0.21,12.64,63.4,41.28,8.73,104.16296469976132,-5.335740554327841,0.1640994512893769,0.1817622336647582,0.2001058290816957,0.2194622936401709,0.2345701923239979,RLS
Kota Bandar Lampung,Lampung,12.0,0.0,7.37,57.2,48.08,10.99,105.2621322997849,-5.414200447552318,0.1751731787455657,0.1750376644743796,0.187829302639071,0.2075878111912411,0.2543720429497424,RLS
Kota Metro,Lampung,12.2,0.0,6.78,57.1,47.91,11.01,105.3079579647036,-5.117297361426031,0.1883082640980088,0.168885234354681,0.1930540383561188,0.1933118707627975,0.2564405924283936,RLS
Bangka,Kepulauan Bangka Belitung,17.8,0.04,4.24,66.0,66.27,8.45,105.91963484768858,-1.9043145505946093,0.1722807126585744,0.1741196837273953,0.2295163128038349,0.1868600601901211,0.237223230620074,RLS
Belitung,Kepulauan Bangka Belitung,16.3,0.02,6.11,62.0,67.8,9.05,107.7101750394079,-2.8676408891793934,0.2170664519037735,0.1991205353032086,0.1697679690069445,0.1821513368353708,0.2318937069507022,RLS
Bangka Barat,Kepulauan Bangka Belitung,16.4,0.03,2.59,66.0,63.97,7.48,105.48762624099888,-1.8892304942076965,0.1845169523629424,0.1793356786558564,0.2291030733523258,0.1886990069271764,0.2183452887016986,Konsumsi Protein
Bangka Tengah,Kepulauan Bangka Belitung,17.6,0.06,5.94,65.0,62.54,7.24,106.23392811153126,-2.4324448183357688,0.1784926253253042,0.1709777205792021,0.2174071940583782,0.1859040086130997,0.2472184514240156,RLS
Bangka Selatan,Kepulauan Bangka Belitung,19.6,0.09,3.74,65.7,62.69,6.93,106.34916473492602,-2.77863394500345,0.1756922079025275,0.1686312031726015,0.2179062571197218,0.1909467488095781,0.2468235829955709,RLS
Belitung Timur,Kepulauan Bangka Belitung,13.4,0.0,6.36,65.9,69.79,8.99,108.04817783593732,-2.9084931277034687,0.1890308298707887,0.1956399388715909,0.1959282939663253,0.1958211600857004,0.2235797772055943,RLS
Kota Pangkal Pinang,Kepulauan Bangka Belitung,14.4,0.0,4.04,68.7,73.12,10.67,106.11321039809803,-2.1105136529568846,0.1719236304378986,0.186315705807411,0.2235481501210924,0.1832908093703451,0.2349217042632526,RLS
Karimun,Kepulauan Riau,18.2,0.17,5.78,61.3,62.23,8.91,103.53107182041836,0.8255405522009691,0.1850566451654056,0.173721319869865,0.1850764433182604,0.2167527725929899,0.2393928190534788,RLS
Natuna,Kepulauan Riau,15.5,0.14,5.04,65.2,75.14,9.2,108.26025907018662,3.7823942930964063,0.161965486980183,0.1507602575997884,0.1883414977324661,0.2450663868311499,0.2538663708564124,RLS
Lingga,Kepulauan Riau,14.7,0.18,9.99,64.2,71.64,7.6,104.52694669143484,-0.2218432946369491,0.1848197328088012,0.1936754245909383,0.1790234509797705,0.1831236266646946,0.259357764955795,RLS
