kab_kota,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Kota Magelang,0.10140975376200949,0.21135026555899553,0.2089652314966243,0.21284376950731107,0.26543097967505946,RLS
Kota Makassar,0.14077599984404923,0.23700262816783507,0.18342294309867924,0.22292745353657528,0.21587097535286104,Kemiskinan
Kota Malang,0.11860204685279806,0.22567618441373374,0.21574934884209718,0.1937315131587807,0.24624090673259014,RLS
Kota Manado,0.19209964520209297,0.2033320018668806,0.18113991600597018,0.19128088962571443,0.23214754729934162,RLS
Kota Mataram,0.2034579959572407,0.258763340380551,0.1777648079648997,0.1880561982477789,0.17195765744952954,Kemiskinan
Kota Metro,0.18830826409800885,0.16888523435468109,0.19305403835611884,0.1933118707627975,0.2564405924283936,RLS
Kota Padang,0.18664589016495087,0.1895156745694163,0.1752580474017436,0.22133408448166544,0.22724630338222365,RLS
Kota Padang Panjang,0.18818334018596608,0.1999080610391007,0.1778842981415907,0.2108770893935061,0.22314721123983616,RLS
Kota Padang Sidempuan,0.20547818769943416,0.2066253342781808,0.17277383988941203,0.2112363700039012,0.20388626812907162,Pangan Hewani
Kota Palangkaraya,0.21856385211304682,0.20981039003856689,0.20723517806625924,0.17838209307428646,0.18600848670784043,Melahirkan Tidak di Faskes
Kota Palembang,0.17472916935483765,0.18987761149905674,0.21716984923930546,0.18319792315784916,0.23502544674895084,RLS
Kota Palopo,0.14165947044200558,0.23201887075499272,0.20916221345624136,0.22404744714954447,0.19311199819721578,Kemiskinan
Kota Palu,0.14937639616497558,0.230836387548154,0.1958630319406365,0.24286201410052077,0.18106217024571297,Pangan Hewani
Kota Pangkal Pinang,0.1719236304378986,0.18631570580741103,0.22354815012109247,0.18329080937034511,0.2349217042632526,RLS
Kota Parepare,0.15340118542390246,0.21896019174180392,0.21324077798784058,0.23004635084928118,0.18435149399717166,Pangan Hewani
Kota Pariaman,0.18065558679872495,0.20311567729686913,0.17924006003169,0.22412167358313098,0.21286700228958477,Pangan Hewani
Kota Pasuruan,0.11672862913011794,0.237983119974155,0.2106559984026236,0.18545832504272125,0.24917392745038203,RLS
Kota Payakumbuh,0.18760191915167534,0.2131366543767488,0.16537097232637807,0.21127649145000624,0.22261396269519138,RLS
Kota Pekalongan,0.12575918170192266,0.21815214741573197,0.20240012029812895,0.21971292259282402,0.23397562799139232,RLS
Kota Pekanbaru,0.16775975029850324,0.19263681357114754,0.19126042959513845,0.2281954650829427,0.22014754145226792,Pangan Hewani
Kota Pematangsiantar,0.19026725864113733,0.23672509681964682,0.18300397114292188,0.213229617721966,0.17677405567432783,Kemiskinan
